#name	unit price($)	units (pounds) sold	sale volume($)
celery	2.300000	99.450000	228.735000
blueberry	3.500000	87.300000	305.550000
potato	0.600000	823.650000	494.190000
avocado	4.760000	107.200000	510.272000
orange	1.200000	506.210000	607.452000
cucumber	1.800000	367.300000	661.140000
grape	2.250000	393.500000	885.375000
cherry	4.250000	234.560000	996.880000
onion	4.300000	234.200000	1007.060000
spinach	3.900000	267.300000	1042.470000
broccoli	2.100000	498.300000	1046.430000
apple	1.250000	944.230000	1180.287500
catfish	6.990000	258.300000	1805.517000
tomato	2.900000	873.900000	2534.310000
salmon	10.990000	342.400000	3762.976000
lettuce	5.200000	882.400000	4588.480000
